ID,Start time,Completion time,Email,Name,What is your business trading name?,Street address,Suburb,State,Postcode,Business phone number,Business email ,Website,Instagram,Facebook,Twitter,YouTube,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type of business,"Describe your business, product or service",Delivery,Takeaway,Online sales,lat_long
,,,,,Decorati,,West Hoxton,NSW,2171,0438 827 085,info@decorati.com.au,www.decorati.com.au,,,,,,,,,,,,Creative service,Decorati is a mobile children's service offering fun cooking and sensory activities to children all over the Sydney region. We provide incursions and workshops.,,,,"-33.93569, 150.8308"
,,,,,Design 2 Change,,Liverpool,NSW,2170,0414 814 690,info@design2change.com.au,www.design2change.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services","Ethical, sustainable eco-fashion clothing that is Australian-owned and made in the heart of Liverpool.",,,y,"-33.9285567, 150.9179595"
,,,,,DMI Psychology,"Suite 1, 262 Macquarie Street",Liverpool,NSW,2170,0414 992 492,info@dmi.org.au,www.dmi.org.au,,,,,y,y,y,y,y,,,Health,"Psychological interventions, assessments and positive behaviour support for participants under NDIS.",,,,"-33.9240708, 150.9237801"
,,,,,Elite Tax Advisory,"Level 1, 67 Scott St",Liverpool,NSW,2170,0456 799 959,info@elitetaxadvisory.com.au,www.elitetaxadvisory.com.au,https://www.instagram.com/elite_tax_advisory/,https://www.facebook.com/elitetaxadvisory/,,,y,y,y,y,y,y,,"Administrative, financial and legal","Certified Practicing Accountants, Tax preparation services and Chartered Tax Advisers Practice",,,,"-33.9248282, 150.9241664"
,,,,,Exquisite Barber and Hair Salon,263 Northumberland Street,Liverpool,NSW,2170,0406 637 921,exquisitehairsalon@outlook.com,,,,,,,y,y,y,y,y,,"Retail, gifts and beauty services",Barber and hair salon for both men and women.,,,,"-33.9245563, 150.9219226"
,,,,,First Class Accounts,,Liverpool,NSW,2170,,trevor.lindsay@firstclassaccounts.com,https://www.firstclassaccounts.com/liverpool,,https://www.facebook.com/First-Class-Accounts-Liverpool-960965400611362,,,y,y,y,y,y,,,"Administrative, financial and legal",Bookkeeping,,,,"-33.9285567, 150.9179595"
,,,,,Fitness Forum Health Club,1/170-174 Green Valley Rd,Green Valley,NSW,2168,02 8783 8083,info@fitnessforum.com.au,www.fitnessforum.com.au,,,,,y,y,y,y,y,y,y,Fitness,"Fitness Forum is a family gym, established in 2005, so is now an iconic part of Green Valley. Fitness Forum is a community of friendly and supportive people.",,,,"-33.9028351, 150.8691015"
,,,,,Fusion Corner,,Edmondson Park,NSW,2174,0403 122 994,jobykunjappan@yahoo.com,,,ttps://www.facebook.com/fusioncorne/,,,,,,y,y,y,y,Eateries and catering,Indian & fast food options.,,y,,"-33.9651827, 150.8580282"
,,,,,ITP The Income Tax Professionals,1/186 Macquarie St,Liverpool,NSW,2170,02 9601 4111,itpliverpool@hotmail.com,www.itpliverpool.com.au,,,,,y,y,y,y,y,y,,"Administrative, financial and legal",Accounting and tax preparation,,,,"-33.9218237, 150.9245189"
,,,,,Kangatraining,,Hoxton Park,NSW,2171,0431 600 743,Carla.pecorella@yahoo.com.au,www.kangatraining.info,,https://facebook.com/kangatraininghoxtonpark/,,,,,,y,,,,Fitness,Kangatraining offers safe postnatal exercise for mums and their babies.,,,,"-33.93382, 150.85284"
,,,,,KILR Glass & Fencing,3 Hopkins Place,Austral,NSW,2179,0403 963 537,kilrfencing@gmail.com,,,,,,y,y,y,y,y,y,,Outdoor and gardening services,"Glass fencing and balustrades, custom staircases, timber & Colorbond fencing, custom-made pool filter boxes, slat aluminium screening and slat aluminium gates.",,,,"-33.9309872, 150.8116738"
,,,,,Leading Tailored Cafe,391-395 New Bridge Road,Moorebank,NSW,2170,0418 866 928,theleadingtailoredcook@gmail.com,www.leadingtailoredcafe.com.au,the_leading_tailored_cook,,,,y,y,y,y,y,y,y,Eateries and catering,"Offers cooking workshops and a café in one locaion, available for pick-up or delivery.",y,y,,"-33.9280396, 150.9319158"
,,,,,Liverpool Orthodontics,2/90 Bathurst St,Liverpool,NSW,2170,02 9601 7800,info@liverpoolorthodontics.com.au,www.liverpoolorthodontics.com.au,https://www.instagram.com/liverpoolorthodontics/,https://www.facebook.com/LiverpoolOrthodontics,,,y,y,y,y,y,,,Health,Orthodontic service to correct your smile and bite.,,,,"-33.925331, 150.9212172"
,,,,,Liverpool Supreme Bakery,"Shop 2, 166 Macquarie Street",Liverpool,NSW,2170,02 9734 8500,mdelevski@icloud.com,,,,,,y,y,y,y,y,y,y,Eateries and catering,"Bakery specialising in Balkan pastries and bread, available for pick-up or delivery.",,,,"-33.9212726, 150.924283"
,,,,,LJ Hooker Casula,"562 Hume Highway, Casula",Casula,NSW,2170,02 9601 8333,casula@ljhooker.com.au,www.casula.ljhooker.com.au,,https://www.facebook.com/ljhcasula/,,,y,y,y,y,y,y,,Real estate and property services,"Buying, selling or renting real estate.",,,,"-33.9491879, 150.9065328"
,,,,,Macquarie Hotel,269 Macquarie St,Liverpool,NSW,2170,02 8763 1699,bookings@macquarie-hotel.com.au,www.macquarie-hotel.com.au,,https://www.facebook.com/macquariehotelliverpool/,,,y,y,y,y,y,y,y,Eateries and catering,Bottle shop and dine in and takeaway food,,,,"-33.9240331, 150.9230472"
,,,,,Marshall Batteries Prestons,"Unit 9, 262-274 Hoxton Park Rd",Prestons,NSW,2170,02 9825 0512,Sales@ozzypower.com.au,www.ozzypower.com.au,,https://www.facebook.com/Marshall-Batteries-prestons-Ozzy-power-204942113324564/,,,y,y,y,y,y,y,,Auto service,Battery replacement store and roadside assist.,,,,"-33.92917, 150.8901366"
,,,,,Megasave Couriers Sydney,6/31 Governor Macquarie Drive,Chipping Norton,NSW,2170,13 63 42,info@megasave.net.au,www.megasave.live,,,,,y,y,y,y,y,,,Delivery services,Locally family-owned courier service.,,,,"-33.9246566, 150.9624433"
,,,,,Next Level Fitness,,,,,0424 528 970,Hello@nextlevelfitness.sydney,www.nextlevelfitness.sydney,,,,,y,y,y,y,y,y,y,Fitness,"Live online fitness classes direct to you through a virtual studio, seven days a week.",,,,"-33.92246, 150.9254"
,,,,,NSW Office Solutions,10/10 Ash Road,Prestons,NSW,2170,02 9608 3944,rauf@nswofficesolutions.com.au,www.nsw.officechoice.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services","Office supplies, furniture and cleaning products.",,,,"-33.9325191, 150.8820099"
,,,,,OK Electrical,,Hinchinbrook,NSW,2168,0431 408 070,Ok.electrical@hotmail.com,,,,,,y,y,y,y,y,y,y,Trade services,"All electrical services for residential, industrial and commercial facilities.",,,,"-33.9165364, 150.8639325"
,,,,,Paint and Sip Studios,1/101 Moore Street,Liverpool,NSW,2170,0415 937 038,liverpool@paintandsipstudios.com.au,www.paintandsipstuidos.com.au,,,,,,,,y,y,y,y,Creative service,Offering range of creative experiences including pre-booked paint and sip experiences advertised on the website. Also uniquely tailor and experience for any occasion.,,,,"-33.922121, 150.9220589"
,,,,,Pasta Italia,633-639 Hume Highway,Casula,NSW,2170,02 9822 2275,info@pastaitalia.com.au,www.pastaitaliacucina.com.au,,,,,y,y,y,y,y,y,,Eateries and catering,Sydney's home of fresh pasta and Italian groceries. Menu items available for pick-up or delivery.,,,,"-33.9547758, 150.8920151"
,,,,,Poshak,239A George Street,Liverpool,NSW,2170,02 9600 8515,,,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",Formal and casual Pakistani clothing.,,,,"-33.923772, 150.924371"
,,,,,Righthand Woman Lifestyle Management,,Holsworthy,NSW,2173,02 8328 0704,hello@rwlifestylemanagement.com.au,www.rwlifestylemanagement.com.au,,https://www.facebook.com/RWLifestyleManagement,,,,,,,,,,"Administrative, financial and legal",Personal assistance to tick off your 'to-do' list.,,,,"-33.9565362, 150.9498811"
,,,,,Safair (Aust) Pty Ltd,Unit 1/1 Powdrill Rd,Prestons,NSW,2170,1300 382 462,admin@safair.com.au,www.safair.com.au,,,,,y,y,y,y,y,,,Trade services,"Air-conditioning service, maintenance, sales and installations",,,,"-33.9344938, 150.8899691"
,,,,,Solar Run Holsworthy,,Holworthy,NSW,2173,0466 336 786,r.abedin@solarrun.com.au,www.solarrun.com.au,,,,,y,y,y,y,y,y,,Trade services,"Solar panel installation, helping reduce your electricity bill costs.",,,,"-33.9565362, 150.9498811"
,,,,,Tealive Liverpool,"Shop 3, 1 Bigge St",Liverpool,NSW,2170,0403 905 400,Budimantan38@hotmail.com,www.tealive.co,,,,,y,y,y,y,y,y,y,Eateries and catering,"Bubble milk tea, iced tea, smoothies, coffee.",,,,"-33.9146821, 150.9281266"
,,,,,Tellaballs Liverpool,196/197 Elizabeth Street,Liverpool,NSW,2170,02 9734 9192,tellaballsliverpool@gmail.com,@tellaballsliverpool on instagram and Facebook,,,,,y,y,y,y,y,y,y,Eateries and catering,"Desserts such as doughnuts, waffles,crepes and pancakes for pick-up or delivery.",y,y,,"-33.920172, 150.9248879"
,,,,,The Collective Automotive Detailing,26 Buckingham Crescent,Chipping Norton,NSW,2170,0438 304 488,hello@collectivedetailing.com.au,,,,,,y,y,y,y,y,y,y,Auto service,Automotive detailing and cleaning,,,,"-33.9109312, 150.9610414"
,,,,,The Rising Collective Boutique,"Shop 7, 232-250 Northumberland Street, Liverpool",Liverpool,NSW,2170,0403 735 587,jess@lnc.org.au,www.liverpoolnc.org.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services",Sells pre-loved women's clothing and accessories.,,,,"-33.9239416, 150.9225401"
,,,,,The Sweet and Savoury Chef,,Casula,NSW,2170,0414 054 415,thesweetandsavourychef@gmail.com,www.thesweetandsavourychef.com.au,,,,,y,y,y,y,y,y,y,Eateries and catering,Offers a range of both sweet and savoury foods wholesale and retail. Additional they can cater for private and corporate functions.,,,,"-33.9503864, 150.9044946"
,,,,,Travel Central,7 Meehan Ave,Hammondville,NSW,2170,02 8208 8888,sales@travelcentral.com.au,www.travelcentral.com.au,,www.facebook.com/travelcentral,,,y,y,y,y,y,,,Travel,"Full service travel agency, offering affordable prices.",,,,"-33.9477623, 150.9505297"
,,,,,Unique Chauffeur Cars,,,,,0438 787 208,opal_coaches@optusnet.com.au,www.opalcoaches.com.au,,,,,,,,,,,,Hire and rental services,"Chauffeur driver, hire car plated vehicles - mini-buses, sedans and luxury vehicles.",,,,"-33.92246, 150.9254"
,,,,,Vespa Fashion,Shop 1/85 Moore Street,Liverpool,NSW,2170,02 9824 3330,,www.vespafashion.com.au,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services","Australian-made goods and quality European clothing and accessories for the office, corporate events and weddings, bespoke suits and leather jackets, and in-house tailoring.",,,,"-33.9222283, 150.9228494"
,,,,,Winfu Jewellers,"Shop 11, Penns Railway Arcade, 247-251 George St",Liverpool,NSW,2170,02 9601 8417,winfujewellers@gmail.com,www.ebay.com.au/str/winfujewellers,,,,,y,y,y,y,y,y,,"Retail, gifts and beauty services",Sales and repairs of hand-made jewellery and watches.,,,,"-33.9241629, 150.9244373"
,,,,,Wombat Grafx,3/5 Kaleski Street,Moorebank,NSW,2170,9602 5644,info@wombatgrafx.com,,,,,,y,y,y,y,y,,,Creative service,Offering printing and signage services.,,,,"-33.9367789, 150.931325"
